org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  399.8   70  1.3822 -1.131e-03  0.000  0.083    1.60  1.3304  3.835  0.145  0.992  0.723  1.000  2.168  2.472  2.101  1.606  1.116  0.749  0.484
  329.1   70  1.3863 -9.766e-04  0.000  0.083    1.60  1.7948  5.174  0.145  0.994  0.749  1.000  2.246  2.696  2.448  2.002  1.496  1.071  0.741
  229.8   70  1.4013 -7.503e-03  0.000  0.083    1.60  2.5490  7.348  0.145  0.953  0.773  1.000  2.317  2.947  2.881  2.566  2.108  1.654  1.269
 7082.2   70  1.3341 -1.119e-02  0.000  0.083    1.60  0.0033  0.010  0.145  0.103  0.022  1.000  0.064  0.502  0.014  0.000  0.000  0.000  0.000
  300.0   80  1.3775 -1.260e-03  0.000  0.086    1.60  2.0424  5.694  0.149  0.992  0.766  1.000  2.299  2.854  2.702  2.311  1.813  1.359  0.988
  400.0   80  1.3694 -7.900e-04  0.000  0.086    1.60  1.3318  3.713  0.149  0.994  0.733  1.000  2.198  2.542  2.202  1.713  1.214  0.829  0.544
  440.0   80  1.3677 -7.893e-04  0.000  0.086    1.60  1.1252  3.137  0.149  0.994  0.716  1.000  2.149  2.415  2.015  1.510  1.028  0.678  0.428
  500.0   80  1.3659 -7.900e-04  0.000  0.086    1.60  0.8803  2.454  0.149  0.994  0.690  1.000  2.070  2.232  1.759  1.249  0.802  0.503  0.302
  550.0   80  1.3644 -9.480e-04  0.000  0.086    1.60  0.7219  2.012  0.149  0.992  0.668  1.000  2.003  2.090  1.571  1.066  0.654  0.394  0.227
  600.0   80  1.3634 -9.480e-04  0.000  0.086    1.60  0.5968  1.664  0.149  0.991  0.644  1.000  1.933  1.957  1.404  0.912  0.535  0.310  0.172
  675.0   80  1.3623 -1.109e-03  0.000  0.086    1.60  0.4552  1.269  0.149  0.989  0.609  1.000  1.827  1.775  1.189  0.724  0.398  0.218  0.114
  800.0   80  1.3594 -1.580e-03  0.000  0.086    1.60  0.2981  0.831  0.149  0.980  0.552  1.000  1.655  1.521  0.913  0.501  0.248  0.125  0.060
  870.0   80  1.3584 -1.910e-03  0.000  0.086    1.60  0.2398  0.669  0.149  0.973  0.521  1.000  1.563  1.402  0.793  0.411  0.193  0.092  0.043
 1000.0   80  1.3574 -2.450e-03  0.000  0.086    1.60  0.1660  0.463  0.149  0.958  0.467  1.000  1.400  1.217  0.618  0.288  0.123  0.054  0.023
 1020.0   80  1.3570 -2.512e-03  0.000  0.086    1.60  0.1570  0.438  0.149  0.956  0.459  1.000  1.376  1.192  0.596  0.273  0.115  0.050  0.021
